,Product Name,Price â‚¹,Rating
0,"OPPO A1K (Red, 32 GB)","8,499","14,208"
1,"OPPO A17K (Navy Blue, 64 GB)","9,267","7,861"
2,"OPPO A1K (Black, 32 GB)","7,999","14,208"
3,"OPPO A17K (Gold, 64 GB)","9,290","7,861"
4,"OPPO A17k (Navy Blue, 64 GB)","9,499","7,861"
5,"OPPO A15 (Mystery Blue, 32 GB)","9,270","2,297"
6,"OPPO A58 (Dazzling Green, 128 GB)","14,999",235
7,"OPPO A58 (Glowing Black, 128 GB)","14,999",235
8,"OPPO A57 (Glowing Green, 64 GB)","12,720","3,564"
9,"OPPO A17 (Lake Blue, 64 GB)","11,999","10,044"
10,"OPPO A17 (Lake Blue, 64 GB)","11,162","10,044"
11,"OPPO A77 (Sky Blue, 64 GB)","14,980","1,034"
12,"OPPO F21 Pro (Sunset Orange, 128 GB)","18,883","5,622"
13,"OPPO A78 5G (Glowing Black, 128 GB)","18,999","3,220"
14,"OPPO A78 5G (Glowing Blue, 128 GB)","18,999","3,220"
15,"OPPO F21s Pro (Dawnlight Gold, 128 GB)","17,549","1,101"
16,"OPPO A96 (Starry Black, 128 GB)","16,489","1,123"
17,"OPPO A77s (Sunset Orange, 128 GB)","16,499","1,644"
18,"OPPO Reno10 5G (Ice Blue, 256 GB)","32,999","18,867"
19,"OPPO Reno10 Pro 5G (Glossy Purple, 256 GB)","39,999","5,035"
20,"OPPO Reno8T 5G (Sunrise Gold, 128 GB)","29,999","15,332"
21,"OPPO Reno10 Pro+ 5G (Glossy Purple, 256 GB)","54,999","1,168"
22,"OPPO Reno10 5G (Silvery Grey, 256 GB)","32,999","18,867"
23,"OPPO A78 (Aqua Green, 128 GB)","21,999",124
